state	date	diff_xibar	diff_low	diff_high	undecided_xibar	dem_win_prob	dem_win_prob_with_undecided
NH	2016-08-20	0.00166047902348967	-0.019323392650633	0.0245641720521762	0.0999805821828924	0.55035	0.5
NH	2016-08-21	0.00163702576211855	-0.0192869760036344	0.024733333693752	0.0997203716686519	0.54805	0.5
NH	2016-08-22	0.0016100173913452	-0.019279965404024	0.0246763457122679	0.0994509544345077	0.54785	0.5
NH	2016-08-23	0.00156217243553008	-0.0195451757204632	0.0245835078883824	0.09917457031362	0.5465	0.5
NH	2016-08-24	0.00151755716896619	-0.0192862894238549	0.0243787458983564	0.0988593983589113	0.54265	0.5
NH	2016-08-25	0.00149541080742574	-0.0196307124631775	0.0243140953021718	0.0985256734620538	0.54345	0.5
NH	2016-08-26	0.00144763288840984	-0.0196443167677145	0.0245124917770108	0.0981876264642127	0.54	0.5
NH	2016-08-27	0.00140319793868291	-0.0196802775436754	0.0246817387802376	0.0978856783469744	0.5394	0.5
NH	2016-08-28	0.00132500472572925	-0.0201304542332341	0.0246839728201119	0.097555075223674	0.5391	0.5
NH	2016-08-29	0.00122387619418414	-0.0206802225773798	0.0250946053708629	0.0972379254028175	0.53135	0.5
NH	2016-08-30	0.00111347633872929	-0.0209571727037975	0.0249662911963556	0.0969184414920253	0.5294	0.5
NH	2016-08-31	0.000971155275477408	-0.021529525689177	0.0251906969480846	0.0966151167512819	0.5274	0.5
NH	2016-09-01	0.000771104592634086	-0.0222358581637675	0.0250180284851842	0.0963302086396589	0.51955	0.5
NH	2016-09-02	0.000553670749368545	-0.0229437216716611	0.0251676235683654	0.0960504693222788	0.51185	0.5
NH	2016-09-03	0.00033991984212922	-0.0239673915610791	0.0251832741054282	0.0957696505801952	0.50345	0.5
NH	2016-09-04	0.000169991289065542	-0.0244517213177553	0.0250969641887863	0.0954975973907533	0.50025	0.5
NH	2016-09-05	-0.0000293009372525512	-0.0248643614334973	0.0252563309536921	0.0952139308859984	0.49405	0.5
NH	2016-09-06	-0.000222491048162577	-0.0255542791738833	0.02525553591521	0.0949411529382688	0.49165	0.5
NH	2016-09-07	-0.000326967261300141	-0.0262420769420513	0.025588160877017	0.0947691791158285	0.4857	0.5
NH	2016-09-08	-0.000409798277835167	-0.0268001840626226	0.0259059060569507	0.0946996834224563	0.4859	0.5
NH	2016-09-09	-0.000390078584547854	-0.0268914301961802	0.0263938169722114	0.0946787632664894	0.48515	0.5
NH	2016-09-10	-0.000411973453646943	-0.0275112119463375	0.0268538148287515	0.0946849001569379	0.48575	0.5
NH	2016-09-11	-0.000419837212464628	-0.0282348403713942	0.0274055595237185	0.0946880648596595	0.4878	0.5
NH	2016-09-12	-0.000412022018090029	-0.0288402312559629	0.0278403945358463	0.0946853227461949	0.486	0.5
NH	2016-09-13	-0.000448321535446027	-0.0289681602165233	0.0283113410229249	0.0946967785324405	0.4836	0.5
NH	2016-09-14	-0.000450105749274254	-0.029397706308599	0.0285862169619817	0.0946973841019306	0.4859	0.5
NH	2016-09-15	-0.000471879109218694	-0.0298614492233004	0.0288206902655244	0.0947183994445305	0.48535	0.5
NH	2016-09-16	-0.000437674890476988	-0.0302848807463538	0.0291583919497228	0.0947064328273191	0.485	0.5
NH	2016-09-17	-0.00045878238591367	-0.0307888838849676	0.0294780299904963	0.0947178630856485	0.48365	0.5
NH	2016-09-18	-0.000454767547937973	-0.0310425079382759	0.0300548270894226	0.0947144947590437	0.4841	0.5
NH	2016-09-19	-0.000475687734018523	-0.0317258914909502	0.0301916193462644	0.0947389714516826	0.48575	0.5
NH	2016-09-20	-0.000462121722198677	-0.0323105928456283	0.0305110569276191	0.0947123840157777	0.488	0.5
NH	2016-09-21	-0.000465708844598517	-0.0324316418123179	0.030647151777469	0.0947118858854296	0.4874	0.5
NH	2016-09-22	-0.000461672477475402	-0.0326416201098886	0.0312651563309686	0.0947076274351455	0.4871	0.5
NH	2016-09-23	-0.000450843211137753	-0.0329215018188963	0.0317070423383133	0.0946991803783873	0.48885	0.5
NH	2016-09-24	-0.000451605076556277	-0.0334472766287326	0.032245847875965	0.0947069149625226	0.4884	0.5
NH	2016-09-25	-0.000451221344246545	-0.0335644024173243	0.0327283655856665	0.0947222361368099	0.49005	0.5
NH	2016-09-26	-0.000433668020922239	-0.0339640716100608	0.0332879034572995	0.0947083412528611	0.49055	0.5
NH	2016-09-27	-0.000439378482162233	-0.034332699786046	0.0333904692469648	0.0946990549951268	0.4891	0.5
NH	2016-09-28	-0.000446765845263211	-0.034815054083367	0.033719308744121	0.0947227205326349	0.48795	0.5
NH	2016-09-29	-0.000432514241431809	-0.0355808687054683	0.0341940335717195	0.0947138496698237	0.48925	0.5
NH	2016-09-30	-0.000435977552724812	-0.0359238114412556	0.0346274028758784	0.094707514836273	0.4892	0.5
NH	2016-10-01	-0.000465554572362868	-0.0361248605122952	0.0351825637224598	0.094711290664245	0.4874	0.5
NH	2016-10-02	-0.00049114872772681	-0.0362633733228889	0.0351612614614238	0.0946882828186444	0.4879	0.5
NH	2016-10-03	-0.000497592115836228	-0.0366691014233644	0.0358194613732398	0.0946713053144615	0.489	0.5
NH	2016-10-04	-0.000501186357106301	-0.0370816930912981	0.0357307442758871	0.0946703932114789	0.4891	0.5
NH	2016-10-05	-0.000514965561579138	-0.0374738472184538	0.0361110524704598	0.0946887508300974	0.49065	0.5
NH	2016-10-06	-0.000538185225575956	-0.0378637896033905	0.0366484493727346	0.0946935366618211	0.48805	0.5
